distancia_x,inclinacion
86096,0.0081
86212,0.0009
86314,0.0059
86420,0.0197
86524,-0.0019
86629,0.0009
86737,-0.0037
86850,-0.0107
86959,-0.0009
87071,-0.0062
87180,0.0
87285,-0.0115
87388,0.0029
87490,0.0
87595,0.0
87705,-0.0009
87816,0.0027
87923,-0.0037
88023,0.004
88136,0.0053
88240,0.0202
88346,0.0208
88447,0.0168
88555,0.0176
88664,0.0193
88773,0.023
88878,0.0238
88985,0.0242
89090,0.025
89195,0.0257
89301,0.0151
89404,0.0029
89514,0.0009
89621,0.0009
89722,-0.0079
89827,-0.0134
89941,-0.0245
90041,-0.026
90142,-0.0238
90247,-0.0237
90353,-0.0228
90458,-0.0201
90559,-0.0177
90672,-0.0168
90784,-0.0206
90895,-0.0198
91008,-0.0044
91109,-0.004
91216,0.0009
91323,-0.0028
91429,0.0
91537,-0.0019
91639,-0.0029
91745,0.0009
91845,0.01
91953,-0.0214
92066,-0.0026
92167,0.003
92279,0.0009
92395,0.0069
92508,0.0053
92622,0.0044
92724,0.0068
92834,0.0
92948,0.0061
93052,0.0202
93161,-0.0009
93266,0.001
93378,-0.0036
93493,-0.0104
93595,-0.001
93707,-0.0053
93817,0.0
93917,0.018
94020,0.0049
94132,0.0223
94232,0.003
94335,0.001
94437,-0.0039
94540,-0.0019
94649,0.0
94752,-0.001
94862,-0.0027
94978,-0.0035
95094,-0.0034
95207,0.0035
95312,0.0143
95426,0.0176
95536,0.0163
95640,0.0145
95746,0.0189
95850,0.0239
95955,0.0278
96056,0.0138
96163,0.0112
96270,0.0056
96383,0.0018
96484,0.002
96585,0.007
96687,0.0098
96792,0.0105
96894,0.0167
97007,0.0195
97116,0.021
97217,0.008
97324,-0.0037
97429,0.0106
97531,0.0332
97632,0.0672
97737,0.0467
97842,0.0332
97948,0.0608
98051,0.0845
98151,0.0845
98255,0.0656
98356,0.0703
98460,0.0337
98565,-0.037
98677,-0.0539
98783,-0.016
98886,-0.0233
99000,-0.0385
99105,-0.0523
99207,-0.0522
99310,-0.0504
99410,-0.0328
99516,0.0283
99617,0.0348
99729,-0.0134
99830,-0.0228
99938,-0.0314
100041,-0.0485
100154,-0.046
100267,-0.0372
100381,-0.0359
100498,-0.0291
100609,-0.0216
100714,-0.0211
100820,-0.0207
100930,-0.0118
101041,-0.009
101146,-0.0077
101247,0.0
101362,-0.0052
101474,-0.0045
101579,-0.0133
101682,-0.0175
101786,-0.0125
101900,-0.0087
102003,-0.0155
102108,-0.021
102216,-0.0102
102321,-0.02
102427,-0.017
102541,-0.0141
102658,-0.006
102771,-0.0009
102881,0.0027
102984,0.0078
103084,0.0
103186,-0.002
103297,-0.0081
103412,-0.013
103517,-0.0057
103621,-0.0164
103733,-0.008
103841,0.0019
103946,0.0
104054,0.0009
104164,-0.0018
104267,0.0029
104373,-0.0019
104481,0.0028
104586,0.0086
104690,0.0134
104795,0.0143
104907,0.0134
105014,0.0177
105119,0.0209
105219,0.021
105330,0.028
105431,0.0258
105535,0.0259
105641,0.0264
105747,0.0303
105848,-0.0079
105948,0.0
106057,0.0018
106163,-0.0142
106269,-0.0132
106373,-0.023
106483,-0.0264
106591,-0.0249
106699,-0.0223
106804,-0.0227
106910,-0.0189
107013,-0.0165
107114,-0.0177
107215,-0.0198
107316,-0.019
107429,-0.0053
107542,-0.0009
107648,-0.0009
107749,0.001
107863,0.0
107971,-0.0009
108072,-0.0089
108184,0.0072
108293,-0.0101
108397,-0.0096
108511,-0.0009
108613,0.003
108721,0.0028
108834,0.0053
108942,0.0056
109043,0.004
109151,0.0065
109263,0.0009
109370,0.0056
109472,0.0204
109582,-0.0009
109689,0.0009
109802,-0.0035
109907,-0.0114
110018,-0.0009
110128,-0.0054
110232,-0.0019
110335,0.0184
110439,0.0058
110546,0.015
110649,0.0117
110750,0.001
110856,-0.0028
110961,-0.0029
111062,0.002
111172,0.0009
111276,-0.0077
111388,-0.0018
111501,-0.0009
111613,0.0027
111718,0.0124
111819,0.0188
111925,0.017
112028,0.0146
112130,0.0157
112233,0.0156
112339,0.0375
112440,0.0109
112551,0.0145
112657,0.0066
112763,0.0019
112867,0.0
112976,0.0083
113079,0.0087
113179,0.011
113288,0.0155
113396,0.0195
113498,0.0207
113600,0.0117
113707,-0.0037
113813,0.0047
113916,0.0292
114020,0.0625
114124,0.0586
114226,0.0273
114332,0.0559
114434,0.0857
114540,0.0817
114646,0.0689
114751,0.0673
114853,0.0371
114956,-0.0253
115058,-0.0661
115162,-0.0163
115272,-0.0208
115388,-0.0347
115490,-0.0545
115591,-0.0519
115705,-0.0526
115809,-0.0306
115921,0.0277
116033,0.0313
116146,-0.0195
116259,-0.0213
116376,-0.0377
116476,-0.0558
116580,-0.0364
116693,-0.038
116809,-0.0347
116928,-0.0269
117032,-0.0201
117137,-0.0238
117246,-0.0175
117357,-0.0117
117462,-0.0076
117564,-0.0078
117677,0.0
117787,-0.0054
117898,-0.0054
118007,-0.0156
118115,-0.0148
118219,-0.0096
118322,-0.0116
118435,-0.0168
118544,-0.0183
118660,-0.0138
118760,-0.0179
118865,-0.0182
118966,-0.0128
119067,-0.004
119174,-0.0009
119279,0.0029
119389,0.0073
119501,0.0
119606,-0.0009
119716,-0.0118
119818,-0.0117
119921,-0.0058
120028,-0.0159
120132,-0.0143
120234,0.0059
120338,0.0
120439,0.0
120540,-0.001
120643,0.0029
120744,-0.0039
120845,0.004
120953,0.0056
121061,0.0194
121169,0.0205
121275,0.0178
121379,0.0164
121491,0.0206
121598,0.0224
121701,0.0232
121803,0.0247
121905,0.0253
122007,0.0245
122110,0.0127
122212,0.0088
122318,0.0019
122419,0.0
122528,-0.0027
122630,-0.0148
122744,-0.0253
122849,-0.0249
122956,-0.0243
123064,-0.0241
123171,-0.0225
123272,-0.0197
123373,-0.0178
123478,-0.0172
123587,-0.0203
123693,-0.0207
123797,-0.0067
123898,-0.003
124012,0.0026
124117,-0.0028
124223,0.0009
124329,0.0
124442,-0.0018
124553,-0.0081
124661,0.0129
124761,-0.025
124867,-0.0028
124979,0.0027
125090,0.0018
125198,0.0055
125305,0.0056
125418,0.0062
125518,0.006
125626,-0.0009
125752,0.0055
125853,0.0218
125959,-0.0009
126071,0.0009
126184,-0.0035
126295,-0.0107
126405,0.0
126519,-0.0062
126623,-0.0029
126734,0.019
126836,0.0059
126942,0.0227
127052,0.0027
127157,0.001
127259,-0.0029
127364,-0.0029
127465,0.002
127575,0.0009
127685,-0.0082
127785,-0.001
127886,-0.001
127986,0.001
128092,0.0104
128199,0.0158
128303,0.0164
128409,0.0169
128516,0.0159
128616,0.019
128720,0.0375
128820,0.009
128928,0.0158
129042,0.007
129145,0.0039
129253,-0.0028
129357,0.0087
129459,0.0088
129568,0.0102
129676,0.0148
129777,0.0208
129881,0.0183
129988,0.0167
130094,-0.0038
130197,-0.0029
130300,0.0291
130405,0.0628
130510,0.064
130616,0.0227
130723,0.0559
